symbol,signal_time,entry_time,expiration_minutes,action,pattern,score,entry_price,exit_time,exit_price,result
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,3,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:27:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,5,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:29:00+00:00,1.15451,WIN
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,10,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:34:00+00:00,1.15433,LOSS
EURUSD,2026-09-15T15:23:00+00:00,2026-09-15T15:24:00+00:00,15,CALL,BULLISH_CANDLE,29,1.1545,2026-09-15T15:39:00+00:00,1.15404,LOSS
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,1,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:26:00+00:00,1.1545,LOSS
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,2,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:27:00+00:00,1.15454,DRAW
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,3,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:28:00+00:00,1.15455,WIN
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,5,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:30:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,10,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:35:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:24:00+00:00,2026-09-15T15:25:00+00:00,15,CALL,BULLISH_BREAKOUT,41,1.15454,2026-09-15T15:40:00+00:00,1.15416,LOSS
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,1,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:27:00+00:00,1.15454,WIN
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,2,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:28:00+00:00,1.15455,WIN
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,3,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:29:00+00:00,1.15451,WIN
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,5,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:31:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,10,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:36:00+00:00,1.15429,LOSS
EURUSD,2026-09-15T15:25:00+00:00,2026-09-15T15:26:00+00:00,15,CALL,BULLISH_CANDLE,34,1.1545,2026-09-15T15:41:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,1,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:28:00+00:00,1.15455,WIN
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,2,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:29:00+00:00,1.15451,LOSS
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,3,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:30:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,5,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:32:00+00:00,1.15444,LOSS
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,10,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:37:00+00:00,1.15419,LOSS
EURUSD,2026-09-15T15:26:00+00:00,2026-09-15T15:27:00+00:00,15,CALL,BEARISH_CANDLE,25,1.15454,2026-09-15T15:42:00+00:00,1.15409,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,1,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:29:00+00:00,1.15451,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,2,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:30:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,3,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:31:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,5,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:33:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,10,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:38:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:27:00+00:00,2026-09-15T15:28:00+00:00,15,CALL,BULLISH_ENGULFING,37,1.15455,2026-09-15T15:43:00+00:00,1.15411,LOSS
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,1,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:30:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,2,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:31:00+00:00,1.15441,LOSS
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,3,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:32:00+00:00,1.15444,LOSS
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,5,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:34:00+00:00,1.15433,LOSS
